1:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 1, 'sor szama': 1}
247:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 7, 'sor szama': 13}
248:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 8, 'sor szama': 13}
249:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 9, 'sor szama': 13}
250:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 10, 'sor szama': 13}
251:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 11, 'sor szama': 13}
252:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 12, 'sor szama': 13}
253:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 13, 'sor szama': 13}
254:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 14, 'sor szama': 13}
255:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 15, 'sor szama': 13}
256:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 16, 'sor szama': 13}
257:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 17, 'sor szama': 13}
258:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 18, 'sor szama': 13}
259:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 19, 'sor szama': 13}
260:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 20, 'sor szama': 13}
261:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 1, 'sor szama': 14}
262:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 2, 'sor szama': 14}
263:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 3, 'sor szama': 14}
264:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 4, 'sor szama': 14}
265:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 5, 'sor szama': 14}
266:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 6, 'sor szama': 14}
267:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 7, 'sor szama': 14}
268:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 8, 'sor szama': 14}
269:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 9, 'sor szama': 14}
270:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 10, 'sor szama': 14}
271:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 11, 'sor szama': 14}
272:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 12, 'sor szama': 14}
273:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 13, 'sor szama': 14}
274:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 14, 'sor szama': 14}
275:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 15, 'sor szama': 14}
276:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 16, 'sor szama': 14}
277:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 17, 'sor szama': 14}
278:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 18, 'sor szama': 14}
279:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 19, 'sor szama': 14}
280:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 20, 'sor szama': 14}
281:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 1, 'sor szama': 15}
282:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 2, 'sor szama': 15}
283:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 3, 'sor szama': 15}
284:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 4, 'sor szama': 15}
285:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 5, 'sor szama': 15}
286:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 6, 'sor szama': 15}
287:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 7, 'sor szama': 15}
288:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 8, 'sor szama': 15}
289:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 9, 'sor szama': 15}
290:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 10, 'sor szama': 15}
291:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 11, 'sor szama': 15}
292:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 12, 'sor szama': 15}
293:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 13, 'sor szama': 15}
294:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 14, 'sor szama': 15}
295:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 15, 'sor szama': 15}
296:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 16, 'sor szama': 15}
297:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 17, 'sor szama': 15}
298:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 18, 'sor szama': 15}
299:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 19, 'sor szama': 15}
300:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 20, 'sor szama': 15}
